DateTime,kW
11/01/2021 09.45,4068
11/01/2021 10.00,4284
11/01/2021 10.15,4500
11/01/2021 10.30,4692
11/01/2021 10.45,4848
11/01/2021 11.00,4956
11/01/2021 11.15,5052
11/01/2021 11.30,5136
11/01/2021 11.45,5196
11/01/2021 12.00,5232
11/01/2021 12.15,5232
11/01/2021 12.30,5220
11/01/2021 12.45,5196
11/01/2021 13.00,5148
11/01/2021 13.15,5076
11/01/2021 13.30,5004
11/01/2021 13.45,4860
11/01/2021 14.00,4680
11/01/2021 14.15,4488
11/01/2021 14.30,4320
11/01/2021 14.45,4068
11/01/2021 15.00,3840
11/01/2021 15.15,3576
11/01/2021 15.30,3204
11/01/2021 15.45,2868
11/01/2021 16.00,2472
11/01/2021 16.15,1992
11/01/2021 16.30,1596
11/01/2021 16.45,1284
11/01/2021 17.00,960
11/01/2021 17.15,588
11/01/2021 17.30,276
11/01/2021 17.45,108
11/01/2021 18.00,0
11/01/2021 18.15,0
11/01/2021 18.30,0
11/01/2021 18.45,0
11/01/2021 19.00,0
11/01/2021 19.15,0
11/01/2021 19.30,0
11/01/2021 19.45,0
11/01/2021 20.00,0
11/01/2021 20.15,0
11/01/2021 20.30,0
11/01/2021 20.45,0
